Variable 1,Variable 2,Type,Statistic,P-Value
Attrition,Age,Categorical-Numerical,38.175886789733404,8.356308021102401e-10
Attrition,DailyRate,Categorical-Numerical,4.726639837649272,0.02985816066026108
Attrition,DistanceFromHome,Categorical-Numerical,8.968276593814723,0.0027930600802131295
Attrition,Education,Categorical-Numerical,1.4463081305523098,0.22931520332227429
Attrition,EmployeeNumber,Categorical-Numerical,0.1642553750949558,0.685327589729904
Attrition,EnvironmentSatisfaction,Categorical-Numerical,15.855209080957504,7.172338549367759e-05
Attrition,HourlyRate,Categorical-Numerical,0.06879597773678614,0.7931347689944519
Attrition,JobInvolvement,Categorical-Numerical,25.241985036473384,5.677065356744563e-07
Attrition,JobLevel,Categorical-Numerical,43.215343827677955,6.795384780014324e-11
Attrition,JobSatisfaction,Categorical-Numerical,15.890003806510506,7.043066741730401e-05
Attrition,MonthlyIncome,Categorical-Numerical,60.026573938357515,1.7349562148828246e-14
Attrition,MonthlyRate,Categorical-Numerical,0.3379164577081446,0.5611235982243229
Attrition,PercentSalaryHike,Categorical-Numerical,0.266728168623382,0.6056128238894396
Attrition,PerformanceRating,Categorical-Numerical,0.012250395534223307,0.9118840421067758
Attrition,RelationshipSatisfaction,Categorical-Numerical,3.0955763595800714,0.0787136304846641
Attrition,StockOptionLevel,Categorical-Numerical,28.140500912238704,1.301014966001994e-07
Attrition,TrainingTimesLastYear,Categorical-Numerical,5.211646072556778,0.022578499737199238
Attrition,WorkLifeBalance,Categorical-Numerical,6.0261161610046345,0.014211054989019785
BusinessTravel,Age,Categorical-Numerical,0.6244288255061771,0.535709529163698
BusinessTravel,DailyRate,Categorical-Numerical,0.17988243171155405,0.8353868414257266
BusinessTravel,DistanceFromHome,Categorical-Numerical,0.4688930381565581,0.6257882455208081
BusinessTravel,Education,Categorical-Numerical,0.05804551765862865,0.9436091627634137
BusinessTravel,EmployeeNumber,Categorical-Numerical,0.3783676468696743,0.6850454503196994
BusinessTravel,EnvironmentSatisfaction,Categorical-Numerical,0.1186515208667241,0.8881257591781646
BusinessTravel,HourlyRate,Categorical-Numerical,0.563072428922342,0.5695797802078781
BusinessTravel,JobInvolvement,Categorical-Numerical,1.547294599905855,0.21317008573964158
BusinessTravel,JobLevel,Categorical-Numerical,0.42893433224163563,0.6512843350555488
BusinessTravel,JobSatisfaction,Categorical-Numerical,0.9821326689375073,0.37475764819502955
BusinessTravel,MonthlyIncome,Categorical-Numerical,0.7848798567790767,0.4563659694672991
BusinessTravel,MonthlyRate,Categorical-Numerical,0.1772874242655837,0.8375569626638497
BusinessTravel,PercentSalaryHike,Categorical-Numerical,0.9838278989253524,0.3741237347797469
BusinessTravel,PerformanceRating,Categorical-Numerical,0.5309180973698053,0.5881777699848791
BusinessTravel,RelationshipSatisfaction,Categorical-Numerical,1.09742105539036,0.33400446301551484
BusinessTravel,StockOptionLevel,Categorical-Numerical,0.708355169695391,0.49262189148857993
BusinessTravel,TrainingTimesLastYear,Categorical-Numerical,0.32185498231976656,0.7248544600460218
BusinessTravel,WorkLifeBalance,Categorical-Numerical,0.11798719311954148,0.8887158665645974
Department,Age,Categorical-Numerical,0.7655031924976903,0.46528552999349515
Department,DailyRate,Categorical-Numerical,0.5647345679278304,0.5686345718513953
Department,DistanceFromHome,Categorical-Numerical,0.235026611355925,0.7905795728217966
Department,Education,Categorical-Numerical,0.28306745471385036,0.7535101059425009
Department,EmployeeNumber,Categorical-Numerical,3.408755007172486,0.033344621306985324
Department,EnvironmentSatisfaction,Categorical-Numerical,0.5747652749053415,0.5629636591377534
Department,HourlyRate,Categorical-Numerical,0.3553374703243507,0.7009971706680949
Department,JobInvolvement,Categorical-Numerical,0.5012403999318676,0.6058824942967524
Department,JobLevel,Categorical-Numerical,9.784684856565228,6.007017953845983e-05
Department,JobSatisfaction,Categorical-Numerical,0.5021228767277305,0.6053484180286459
Department,MonthlyIncome,Categorical-Numerical,13.54719855864258,1.479783778726713e-06
Department,MonthlyRate,Categorical-Numerical,0.5628352859851156,0.5697147644356102
Department,PercentSalaryHike,Categorical-Numerical,0.9243263528942585,0.39702959963681783
Department,PerformanceRating,Categorical-Numerical,0.7940044059801676,0.4522252122566278
Department,RelationshipSatisfaction,Categorical-Numerical,0.902311342521813,0.40585602099732065
Department,StockOptionLevel,Categorical-Numerical,0.21089414012856514,0.80988434290081
Department,TrainingTimesLastYear,Categorical-Numerical,1.4506366045743264,0.2347570716165152
Department,WorkLifeBalance,Categorical-Numerical,4.213141397138223,0.014979276088691327
EducationField,Age,Categorical-Numerical,1.1206298043977962,0.34730017473701763
EducationField,DailyRate,Categorical-Numerical,2.130377708449879,0.059361924429021024
EducationField,DistanceFromHome,Categorical-Numerical,0.6221775498141473,0.6829130876203742
EducationField,Education,Categorical-Numerical,3.275821914023454,0.006025573143231541
EducationField,EmployeeNumber,Categorical-Numerical,0.4692954539740376,0.7993398411516969
EducationField,EnvironmentSatisfaction,Categorical-Numerical,1.5750621591041187,0.16399276357694123
EducationField,HourlyRate,Categorical-Numerical,1.20341338538005,0.30516135491837815
